"Island","Site","Genus_Code","Site_Genet","Year_STA","Date_STA","Surface_Area_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","Year_END","Date_END","Surface_Area_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","Interval_Years","Mortality","Survival"
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00535",2013,2013-09-06,NA,7.97269986039,10.869331568,1,2016,2016-09-02,NA,10.0294999221,12.3698349141,1,"GROWTH","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00536",2013,2013-09-06,NA,17.0829504726,16.7938099817,1,2016,2016-09-02,NA,13.7661002098,13.9690278291,1,"SHRINK","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00537",2013,2013-09-06,NA,43.6425995779,35.2595770088,1,2016,2016-09-02,NA,44.6097996856,28.4463528958,1,"GROWTH","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00538",2013,2013-09-06,NA,5.8446000339,9.13998336978,1,2016,2016-09-02,NA,24.6038997634,21.0551074014,1,"GROWTH","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00539",2013,2013-09-06,NA,14.5747999801,15.6364838172,1,2016,2016-09-02,NA,0,0,1,"MORT","13_16",2.98973305954825,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00540",2013,2013-09-06,NA,6.63604993545,10.7918495187,1,2016,2016-09-02,NA,0,0,1,"MORT","13_16",2.98973305954825,1,0
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00541",2013,2013-09-06,NA,1.25810003721,4.3704214202,1,2016,2016-09-02,NA,5.80860017763,9.18552503283,1,"GROWTH","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00542",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,14.6750000876,19.0579841814,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00543",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,2.48929999863,5.9256919431,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00544",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,27.5367502989,19.7875305715,1,"RECR","13_16",2.98973305954825,0,1
