"","Island","Site","Genus","Site_Genet","TimePt_STA","TP_ID_STA","Year_STA","TL_Date_STA","Surface_Area_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","TimePt_END","TP_ID_END","Year_END","TL_Date_END","Surface_Area_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","l10_Area_STA","l10_Area_END","l10TransitionMagnitude","l10_Surface_Area_STA","l10_Surface_Area_END","l10STransitionMagnitude","Interval_Years","l10_Area_ENDann","l10_Surface_Area_ENDann","Mortality","Survival"
"1","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01920",0,4,2016,2016-09-12,NA,161.7994998,59.23159332,1,1,7,2019,2019-09-02,NA,255.0411497,83.11431181,1,"GROW","16_19",2.2089771746654,2.40661025747653,0.197633082811125,NA,NA,NA,2.97056810403833,2.27550757420159,NA,0,1
"2","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01921",0,4,2016,2016-09-12,NA,203.15015,66.65711405,1,1,7,2019,2019-09-02,NA,200.6640995,102.0940794,1,"GROW","16_19",2.30781714733262,2.30246968049107,-0.00534746684154275,NA,NA,NA,2.97056810403833,2.30601699778066,NA,0,1
"3","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01922",0,4,2016,2016-09-12,NA,230.2101999,64.34282768,1,1,7,2019,2019-09-02,NA,324.9926501,88.75480026,1,"GROW","16_19",2.36212456196167,2.5118735392647,0.149748977303028,NA,NA,NA,2.97056810403833,2.412535450404,NA,0,1
"4","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01923",0,4,2016,2016-09-12,NA,233.9134999,71.26509948,1,1,7,2019,2019-09-02,NA,432.3615007,101.2326454,1,"GROW","16_19",2.36905528706306,2.63584701558207,0.266791728519008,NA,NA,NA,2.97056810403833,2.45886697263132,NA,0,1
"5","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01924",0,4,2016,2016-09-12,NA,9.728449951,11.6872798,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.988043648967863,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"6","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01925",0,4,2016,2016-09-12,NA,17.86009999,31.72141675,1,1,7,2019,2019-09-02,NA,6.31244992,21.41452756,4,"GROW","16_19",1.25188388596259,0.800197945652828,-0.45168594030976,NA,NA,NA,2.97056810403833,1.0998301627385,NA,0,1
"7","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01926",0,4,2016,2016-09-12,NA,3.26524978,9.526314823,1,1,7,2019,2019-09-02,NA,4.216000086,9.793493007,1,"GROW","16_19",0.513916408865761,0.624900611063438,0.110984202197678,NA,NA,NA,2.97056810403833,0.551277680619403,NA,0,1
"8","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01927",0,4,2016,2016-09-12,NA,202.3426504,79.72610234,1,1,7,2019,2019-09-02,NA,344.0503997,99.3602101,1,"GROW","16_19",2.30608743433326,2.53662206672362,0.230534632390365,NA,NA,NA,2.97056810403833,2.38369367809416,NA,0,1
"9","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01928",0,4,2016,2016-09-12,NA,2.749600004,7.339155198,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.439269519760962,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"10","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01929",0,4,2016,2016-09-12,NA,3.309699948,8.600587521,1,1,7,2019,2019-09-02,NA,0.507150026,4.785285466,2,"GROW","16_19",0.519788623130826,-0.294863547913626,-0.814652171044452,NA,NA,NA,2.97056810403833,0.245547419928996,NA,0,1
