"","REGION","Island","SEC_NAME","Site","Interval","GENUS_CODE","SIG","StartingDate","EndingDate","Interval_Years","Nrec","AdultCoralArea_cm2","A.Surv.m2","A.Surv.cm2","RecSFM_p_Survcm2","RecSFM_p_SiteAdcm2","RecSFM_p_SiteAdcm2_Yr"
"15","MARIAN","MAU","Maug","OCC-MAU-002","17_22","POCS","MAU-002_1706-2206_POCS","2017-06-05","2022-06-24",5.05133470225873,82,58.0604,12,120000,0.000683333333333333,1.41232234018367,0.279593894174572
"16","MARIAN","MAU","Maug","OCC-MAU-002","17_22","POSP","MAU-002_1706-2206_POSP","2017-06-05","2022-06-24",5.05133470225873,42,96700.1153,12,120000,0.00035,0.000434332470749391,8.59837045751843e-05
"17","MARIAN","MAU","Maug","OCC-MAU-019","14_17","ACSP","MAU-019_1405-1706_ACSP","2014-05-06","2017-06-13",3.1047227926078,7,14910.3124,118,1180000,5.93220338983051e-06,0.000469473731482648,0.000151212769333366
"18","MARIAN","MAU","Maug","OCC-MAU-019","14_17","POCS","MAU-019_1405-1706_POCS","2014-05-06","2017-06-13",3.1047227926078,3,7890.656,118,1180000,2.54237288135593e-06,0.000380196526118994,0.000122457478981449
"19","MARIAN","MAU","Maug","OCC-MAU-019","14_17","POSP","MAU-019_1405-1706_POSP","2014-05-06","2017-06-13",3.1047227926078,4,63006.2074,118,1180000,3.38983050847458e-06,6.34858082253019e-05,2.044814061225e-05
"20","MARIAN","MAU","Maug","OCC-MAU-019","17_22","ACSP","MAU-019_1706-2206_ACSP","2017-06-13","2022-06-26",5.03490759753593,28,498.3376,118,1180000,2.3728813559322e-05,0.0561868099055741,0.0111594520489456
"21","MARIAN","MAU","Maug","OCC-MAU-019","17_22","POCS","MAU-019_1706-2206_POCS","2017-06-13","2022-06-26",5.03490759753593,126,115.7917,118,1180000,0.000106779661016949,1.0881608958155,0.216123310057973
"22","MARIAN","MAU","Maug","OCC-MAU-019","17_22","POSP","MAU-019_1706-2206_POSP","2017-06-13","2022-06-26",5.03490759753593,26,116426.1916,118,1180000,2.20338983050847e-05,0.000223317448099024,4.43538324731748e-05
"23","MARIAN","PAG","Pagan","OCC-PAG-006","17_22","ACSP","PAG-006_1705-2208_ACSP","2017-05-31","2022-08-06",5.18275154004107,126,2357.6419,90.2,902000,0.000139689578713969,0.0534432307128576,0.0103117485567201
"24","MARIAN","PAG","Pagan","OCC-PAG-006","17_22","POCS","PAG-006_1705-2208_POCS","2017-05-31","2022-08-06",5.18275154004107,4,0,12.5,125000,3.2e-05,Inf,NA
"25","MARIAN","PAG","Pagan","OCC-PAG-006","17_22","POSP","PAG-006_1705-2208_POSP","2017-05-31","2022-08-06",5.18275154004107,134,5651.0298,90.2,902000,0.000148558758314856,0.0237124921903615,0.0045752708782512
"26","MARIAN","PAG","Pagan","OCC-PAG-013","17_22","POSP","PAG-013_1706-2208_POSP","2017-06-16","2022-08-06",5.13894592744695,76,6458.3321,19,190000,4e-04,0.0117677441827434,0.00228991399187375
"27","MARIAN","SAI","Saipan","OCC-SAI-009","17_22","ACSP","SAI-009_1706-2204_ACSP","2017-06-18","2022-04-21",4.84052019164956,62,6818.6994,120.6,1206000,5.14096185737977e-05,0.00909264309261089,0.00187844337645708
"28","MARIAN","SAI","Saipan","OCC-SAI-009","17_22","MOSP","SAI-009_1706-2204_MOSP","2017-06-18","2022-04-21",4.84052019164956,2,506.2129,12.5,125000,1.6e-05,0.00395090682201105,0.000816215337522362
"29","MARIAN","SAI","Saipan","OCC-SAI-009","17_22","POCS","SAI-009_1706-2204_POCS","2017-06-18","2022-04-21",4.84052019164956,20,1358.1892,12.5,125000,0.00016,0.01472548890832,0.00304212942520581
"30","MARIAN","SAI","Saipan","OCC-SAI-009","17_22","POSP","SAI-009_1706-2204_POSP","2017-06-18","2022-04-21",4.84052019164956,42,34140.0933,12.5,125000,0.000336,0.00123022510896301,0.000254151425932546
"31","MARIAN","SAI","Saipan","OCC-SAI-012","17_22","ACSP","SAI-012_1704-2204_ACSP","2017-04-22","2022-04-22",4.99931553730322,14,5260.5171,12.5,125000,0.000112,0.00266133532766199,0.000532339938898434
"32","MARIAN","SAI","Saipan","OCC-SAI-012","17_22","POCS","SAI-012_1704-2204_POCS","2017-04-22","2022-04-22",4.99931553730322,30,626.9272,12.5,125000,0.00024,0.047852446025631,0.00957179951306776
"33","MARIAN","SAI","Saipan","OCC-SAI-012","17_22","POSP","SAI-012_1704-2204_POSP","2017-04-22","2022-04-22",4.99931553730322,104,6521.5792,12.5,125000,0.000832,0.0159470577310477,0.00318984821263153
"34","PRIA","BAK","Baker","OCC-BAK-003","18_23","ACSP","BAK-003_1806-2303_ACSP","2018-06-14","2023-03-19",4.76112251882272,11,78604.85485,7,70000,0.000157142857142857,0.00013994046577646,2.93923261212489e-05
"35","PRIA","BAK","Baker","OCC-BAK-003","18_23","POCS","BAK-003_1806-2303_POCS","2018-06-14","2023-03-19",4.76112251882272,43,2537.20675,17,170000,0.000252941176470588,0.0169477714025473,0.00355961673650397
"36","PRIA","BAK","Baker","OCC-BAK-003","18_23","POSP","BAK-003_1806-2303_POSP","2018-06-14","2023-03-19",4.76112251882272,14,4804.67815,12.5,125000,0.000112,0.00291382680856573,0.000612004164363792
"37","PRIA","BAK","Baker","OCC-BAK-008","17_18","ACSP","BAK-008_1704-1806_ACSP","2017-04-10","2018-06-15",1.18001368925394,19,17025.243,136.6,1366000,1.3909224011713e-05,0.00111598994504807,0.000945743219092356
"38","PRIA","BAK","Baker","OCC-BAK-008","17_18","MOSP","BAK-008_1704-1806_MOSP","2017-04-10","2018-06-15",1.18001368925394,8,1885.9486,136.6,1366000,5.85651537335285e-06,0.0042418971545672,0.00359478639374864
"39","PRIA","BAK","Baker","OCC-BAK-008","17_18","POSP","BAK-008_1704-1806_POSP","2017-04-10","2018-06-15",1.18001368925394,1,1161.586,136.6,1366000,7.32064421669107e-07,0.000860891918463205,0.000729560958744047
"40","PRIA","BAK","Baker","OCC-BAK-008","18_23","ACSP","BAK-008_1806-2303_ACSP","2018-06-15","2023-03-18",4.75564681724846,55,33336.252,136.6,1366000,4.02635431918009e-05,0.00164985553864904,0.000346925581745285
"41","PRIA","BAK","Baker","OCC-BAK-008","18_23","MOSP","BAK-008_1806-2303_MOSP","2018-06-15","2023-03-18",4.75564681724846,2,1525.5458,136.6,1366000,1.46412884333821e-06,0.00131100619856841,0.000275673583205015
"42","PRIA","BAK","Baker","OCC-BAK-008","18_23","POCS","BAK-008_1806-2303_POCS","2018-06-15","2023-03-18",4.75564681724846,3,2826.692,12.5,125000,2.4e-05,0.00106131124296528,0.000223168642195203
"43","PRIA","BAK","Baker","OCC-BAK-008","18_23","POSP","BAK-008_1806-2303_POSP","2018-06-15","2023-03-18",4.75564681724846,9,851.1094,136.6,1366000,6.58857979502196e-06,0.0105744337919426,0.0022235532196356
"44","PRIA","HOW","Howland","OCC-HOW-005","17_18","ACSP","HOW-005_1704-1806_ACSP","2017-04-11","2018-06-08",1.15811088295688,1,120.2908,12,120000,8.33333333333333e-06,0.00831318770845318,0.00717823123052606
"45","PRIA","HOW","Howland","OCC-HOW-005","17_18","MOSP","HOW-005_1704-1806_MOSP","2017-04-11","2018-06-08",1.15811088295688,16,3794.4988,12,120000,0.000133333333333333,0.00421663066542543,0.00364095591145777
