"","Genus","REGION","SectorStock_median","SectorStock_MD_CI95_LO","SectorStock_MD_CI95_HI","SectorStock_mean","SectorStock_MN_CI95_LO","SectorStock_MN_CI95_HI","MD.RecVal_Sec_All","MD.CI95_LO.RecVal_Sec_All","MD.CI95_HI.RecVal_Sec_All","MN.RecVal_Sec_All","MN.CI95_LO.RecVal_Sec_All","MN.CI95_HI.RecVal_Sec_All"
"1","ACSP","CNMI",0.00299481947803735,0,0.00600767838618428,0.00295461752751641,3.41797418497509e-06,0.00708766409185442,0.00391519885632143,-0.000446901978776341,0.00915997993506194,0.00458476307961957,-0.000761454065462036,0.011861406784541
"2","ACSP","GUA",0.00420379622929583,0,0.0127308756726118,0.0187789750588115,0,0.0532738761865239,0.00265648883584493,-0.000765921338601297,0.005664229685159,0.0080825036427573,-0.00566658907569583,0.0218315963612104
"3","ACSP","MHI",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"4","ACSP","NWHI",0.000190239095461653,0.00039246258869442,0.00658656690115492,0.00178082395050253,0.000383135112833739,0.00584974871392512,0,0.00039246258869442,0.00658656690115492,0.00113325160486525,0.000383135112833739,0.00584974871392512
"5","ACSP","PRIAs",0.000470882917952201,0,0.00105472081603139,0.000615154486884151,2.95174133928771e-05,0.00120079156037542,0.000352034250073825,-4.75233928947445e-05,0.00110675771770106,0.000768858375895772,9.97730416568898e-05,0.00182237289808254
"6","ACSP","SAMOA",0.00069086583404289,0,0.00155770864182592,0.000696889319349921,0,0.0017553849893692,0.000452930189746682,1.68192141549293e-05,0.00150342904682058,0.00080896912448241,-0.00014370044273205,0.00206500211337777
"7","MOSP","CNMI",0.00100240540574824,0.000120840708204454,0.00211785945969895,0.00152109690755421,7.17596126510009e-05,0.00357887296547911,0.000792385404413441,-6.3821573301184e-05,0.00186000921763637,0.00139438298001515,-0.000159192790444827,0.00353506737363939
"8","MOSP","GUA",0.00106122380563591,0,0.00230252851928964,0.00104974248269378,0,0.00234339413503529,0.00163230760856488,0.000107596999730356,0.00335338717252555,0.00174050842623606,1.90498754512112e-05,0.00346196697702091
"9","MOSP","MHI",0.0124558732081943,0.00182292777379339,0.0259460191523189,0.0370307191856259,0.0102878725606393,0.0637735658106125,0.0128946090703562,4.40988925901471e-05,0.0282179266054821,0.0454617768403049,0.000385334704825244,0.0905382189757846
"10","MOSP","NWHI",0.00958886227867648,0,0.021801488118351,0.116310320109661,0,0.237369203253655,0.00605662064339003,0.000230321510467546,0.0127330153474215,0.0726515963096443,-0.00272161248678165,0.160133404491011
"11","MOSP","PRIAs",0.000555909252637406,9.08614410673749e-05,0.001302396061665,0.000742178221001679,0.00010479489916776,0.0013795615428356,0.00028438532245579,4.72678859362399e-05,0.00069047248664454,0.00112549262867067,0.000413651695022042,0.00199811822355798
"12","MOSP","SAMOA",0.00116870181949244,0.000361391074242326,0.0017405006633131,0.00113854401532826,0.000493054659123449,0.00178403337153308,0.00155001635556975,0.00042652275260384,0.0022546817669511,0.00177357377167297,0.000788760652234032,0.00275838689111192
"13","POCS","CNMI",0.00510031140625721,0.00077598646458508,0.00969949153207785,0.0116309553765907,0.00396032820170043,0.019301582551481,0.0098282436115803,0.000615858976245054,0.0179058062698,0.0190760382446957,-0.00102452325902334,0.0391765997484147
"14","POCS","GUA",0.028177728175374,0.00160035325951042,0.0604328758638623,0.0254008480519365,0,0.0509535487430621,0.0108026505188351,0.000153929479444432,0.0208513147232786,0.0137948617738063,-0.000498253235964486,0.0280879767835771
"15","POCS","MHI",0.00898910899662339,0.000235597235902074,0.0172934739134531,0.0168863044271034,0,0.0411328437240331,0.00988962471168782,-0.000787936455811652,0.0191968608692923,0.022699518261245,-0.014625993916632,0.0615135234398595
"16","POCS","NWHI",0.013793688520619,0.00130935276361265,0.0254830430821266,0.0179293432524661,0.0014169520392932,0.034441734465639,0.00991994258078772,0.000345039080115003,0.0201026157121064,0.0119312335448492,0.00063157132345768,0.0232308957662408
"17","POCS","PRIAs",0.00338613131556487,0,0.00629466609856669,0.0031317840576247,7.06790789357048e-05,0.0061928890363137,0.00304925616882538,0.000317017689357964,0.0058189441449002,0.00437243478318121,-0.000909251202878918,0.00965412076924134
"18","POCS","SAMOA",0.00196537465764242,8.17066040901656e-05,0.00452551835824372,0.00282321798913978,0,0.00566917430032678,0.00235210329850351,0.00040941191077216,0.00452076571312525,0.00292963390428702,0.000633840431063278,0.00555094225576488
"19","POSP","CNMI",0.00186040204543144,0.000859460023267296,0.00289170193796651,0.00303739182771906,0.000806905281927091,0.00526787837351102,0.00226657084034718,0.000765265804606214,0.00408702666919991,0.012589816060002,0.00416963501324084,0.0210099971067631
"20","POSP","GUA",0.00067546435191171,0.000194550785499395,0.000931768248251444,0.000747714662681643,0.000258917040631124,0.00123651228473216,0.00134540405981912,0.000347405509019921,0.00214710500123397,0.00150588859528403,0.000326453699732679,0.00268532349083538
"21","POSP","MHI",0.00551822444781054,0.00102730161024322,0.00926178065157838,0.00650999707792029,0.00186979104715624,0.0111502031086844,0.00626596034718122,0.000867366380036623,0.0108641582320627,0.0154524735687945,0.00010414952719962,0.0308007976103895
"22","POSP","NWHI",0.00256861041095015,0.00116860979787735,0.00396861102402295,0.00362125015391414,0.00170158262536468,0.00554091768246359,0.00256861041095015,0.00116860979787735,0.00396861102402295,0.00427721023444935,0.00192242772144989,0.00663199274744881
"23","POSP","PRIAs",0.000817855480864987,0.000174369093028459,0.00142251375468753,0.000913675298497419,0.000239953369984193,0.00195286734640961,0.000798441423857995,0.00024570198361619,0.00140311390203296,0.00358223496788192,-0.00172448430070202,0.0106800717204068
"24","POSP","SAMOA",0.000863806355950601,0.000131663920924146,0.00146804485779918,0.000950359140606969,0.000197318590085798,0.00170339969112814,0.00120918060054649,0.000190585222445508,0.00247239598376793,0.00173272003840255,0.000359459409173868,0.00310598066763123
"25","SSSS","CNMI",0.00690317206195321,0.00418608531154167,0.00929164975304969,0.00641375352390073,0.00408468519428531,0.00874282185351616,0.00741992969558912,0.00389711389890527,0.0106148239179586,0.00761909555830408,0.00382145706645585,0.0114167340501523
"26","SSSS","GUA",0.00293843649370183,0.00110213087529151,0.00418085439698469,0.00285002800126409,0.0012287917181259,0.00447126428440228,0.00373891695236625,0.00172468214291803,0.00588249322922792,0.00396419068170389,0.00199906565787289,0.00592931570553488
"27","SSSS","MHI",0.00563312365578699,0.00140688294698146,0.0094777333918176,0.007618661086722,0.00235962882593678,0.0128776933475072,0.00699124392844766,0.000421698657632423,0.0155396387736421,0.0147825308355213,-0.00226086698790923,0.0318259286589519
"28","SSSS","NWHI",0.00464405484585773,0.00137229688096486,0.00791581281075061,0.00783500085800522,0.00179528586668309,0.0138747158493273,0.00316275445695362,0.0013305517462233,0.00555961859939503,0.00542822264194488,0.00164385372445351,0.00921259155943625
"29","SSSS","PRIAs",0.000661432394196441,0.000273839103267188,0.0010727709360141,0.000737503397170713,0.000315182041866595,0.00115982475247483,0.000743531466895789,0.000561109718311583,0.00115155740412858,0.00177991472705978,0.000764829745661727,0.00279499970845784
"30","SSSS","SAMOA",0.00114924726126382,0.000512571846685352,0.00165936777451108,0.00127240491245463,0.000723862160206806,0.00182094766470246,0.00162216223135803,0.000828050506937497,0.00229158908061549,0.00167613383595244,0.000848271565919834,0.00250399610598504
