"","REGION","Genus","MD.RecVal_Sec_All","MD.CI95_LO.RecVal_Sec_All","MD.CI95_HI.RecVal_Sec_All","MN.RecVal_Sec_All","MN.CI95_LO.RecVal_Sec_All","MN.CI95_HI.RecVal_Sec_All"
"1","CNMI","ACSP",0.00391519885632143,-0.000446901978776341,0.00915997993506194,0.00458476307961957,-0.000761454065462036,0.011861406784541
"2","CNMI","MOSP",0.000792385404413441,-6.3821573301184e-05,0.00186000921763637,0.00139438298001515,-0.000159192790444827,0.00353506737363939
"3","CNMI","POCS",0.0098282436115803,0.000615858976245054,0.0179058062698,0.0190760382446957,-0.00102452325902334,0.0391765997484147
"4","CNMI","POSP",0.00226657084034718,0.000765265804606214,0.00408702666919991,0.012589816060002,0.00416963501324084,0.0210099971067631
"5","CNMI","SSSS",0.00741992969558912,0.00389711389890527,0.0106148239179586,0.00761909555830408,0.00382145706645585,0.0114167340501523
"6","GUA","ACSP",0.00265648883584493,-0.000765921338601297,0.005664229685159,0.0080825036427573,-0.00566658907569583,0.0218315963612104
"7","GUA","MOSP",0.00163230760856488,0.000107596999730356,0.00335338717252555,0.00174050842623606,1.90498754512112e-05,0.00346196697702091
"8","GUA","POCS",0.0108026505188351,0.000153929479444432,0.0208513147232786,0.0137948617738063,-0.000498253235964486,0.0280879767835771
"9","GUA","POSP",0.00134540405981912,0.000347405509019921,0.00214710500123397,0.00150588859528403,0.000326453699732679,0.00268532349083538
"10","GUA","SSSS",0.00373891695236625,0.00172468214291803,0.00588249322922792,0.00396419068170389,0.00199906565787289,0.00592931570553488
"11","MHI","ACSP",0,NA,NA,0,NA,NA
"12","MHI","MOSP",0.0128946090703562,4.40988925901471e-05,0.0282179266054821,0.0454617768403049,0.000385334704825244,0.0905382189757846
"13","MHI","POCS",0.00988962471168782,-0.000787936455811652,0.0191968608692923,0.022699518261245,-0.014625993916632,0.0615135234398595
"14","MHI","POSP",0.00626596034718122,0.000867366380036623,0.0108641582320627,0.0154524735687945,0.00010414952719962,0.0308007976103895
"15","MHI","SSSS",0.00699124392844766,0.000421698657632423,0.0155396387736421,0.0147825308355213,-0.00226086698790923,0.0318259286589519
"16","NWHI","ACSP",0,0.00039246258869442,0.00658656690115492,0.00113325160486525,0.000383135112833739,0.00584974871392512
"17","NWHI","MOSP",0.00605662064339003,0.000230321510467546,0.0127330153474215,0.0726515963096443,-0.00272161248678165,0.160133404491011
"18","NWHI","POCS",0.00991994258078772,0.000345039080115003,0.0201026157121064,0.0119312335448492,0.00063157132345768,0.0232308957662408
"19","NWHI","POSP",0.00256861041095015,0.00116860979787735,0.00396861102402295,0.00427721023444935,0.00192242772144989,0.00663199274744881
"20","NWHI","SSSS",0.00316275445695362,0.0013305517462233,0.00555961859939503,0.00542822264194488,0.00164385372445351,0.00921259155943625
"21","PRIAs","ACSP",0.000352034250073825,-4.75233928947445e-05,0.00110675771770106,0.000768858375895772,9.97730416568898e-05,0.00182237289808254
"22","PRIAs","MOSP",0.00028438532245579,4.72678859362399e-05,0.00069047248664454,0.00112549262867067,0.000413651695022042,0.00199811822355798
"23","PRIAs","POCS",0.00304925616882538,0.000317017689357964,0.0058189441449002,0.00437243478318121,-0.000909251202878918,0.00965412076924134
"24","PRIAs","POSP",0.000798441423857995,0.00024570198361619,0.00140311390203296,0.00358223496788192,-0.00172448430070202,0.0106800717204068
"25","PRIAs","SSSS",0.000743531466895789,0.000561109718311583,0.00115155740412858,0.00177991472705978,0.000764829745661727,0.00279499970845784
"26","SAMOA","ACSP",0.000452930189746682,1.68192141549293e-05,0.00150342904682058,0.00080896912448241,-0.00014370044273205,0.00206500211337777
"27","SAMOA","MOSP",0.00155001635556975,0.00042652275260384,0.0022546817669511,0.00177357377167297,0.000788760652234032,0.00275838689111192
"28","SAMOA","POCS",0.00235210329850351,0.00040941191077216,0.00452076571312525,0.00292963390428702,0.000633840431063278,0.00555094225576488
"29","SAMOA","POSP",0.00120918060054649,0.000190585222445508,0.00247239598376793,0.00173272003840255,0.000359459409173868,0.00310598066763123
"30","SAMOA","SSSS",0.00162216223135803,0.000828050506937497,0.00229158908061549,0.00167613383595244,0.000848271565919834,0.00250399610598504
