"Site","Longitude","Latitude","Lp_ALL","Nl_ALL","Lp_BIN_ALL","Lp_POSP","Nl_POSP","Lp_BIN_POSP","Lp_MOSP","Nl_MOSP","Lp_BIN_MOSP","Lp_POCS","Nl_POCS","Lp_BIN_POCS","Lp_ACSP","Nl_ACSP","Lp_BIN_ACSP"
"OCC-TUT-025",-170.728314,-14.283142,0.687739884655913,3,"Very Low",0.808235289634472,1,"Low",NA,NA,NA,0.910710931258473,1,"<10% Decline",0.934341960512825,1,"<10% Decline"
"KUR_OCC_010",-178.3,28.385,0.684551895646011,1,"Very Low",0.684551895646011,1,"Very Low",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAW_OCC_002",-155.9,20.268,0.678791494283576,1,"Very Low",0.678791494283576,1,"Very Low",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OCC-GUA-015",144.80042,13.52893,0.597463595700953,1,"Very Low",0.597463595700953,1,"Very Low",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAI_SIO_K01",-156.694,20.937,0.571183927428398,9,"Very Low",0.828163390948409,6,"Low",0.689699561307921,3,"Very Low",NA,NA,NA,NA,NA,NA
"FFS_OCC_014",-166.253732,23.792456,0.518189135769372,2,"Very Low",0.518189135769372,2,"Very Low",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OCC-TUT-017",-170.76311,-14.36353,0.517738900139376,2,"Very Low",NA,NA,NA,0.552321240878201,1,"Very Low",NA,NA,NA,0.937387269981074,1,"<10% Decline"
"OCC-BAK-008",-176.479919,0.188409,0.51372896417972,4,"Very Low",NA,NA,NA,0.694765109686478,1,"Very Low",0.997866207997086,1,"<10% Decline",0.741009431536145,2,"Very Low"
"OCC-BAK-003",-176.474519,0.205082,0.492982864005911,3,"Very Low",0.531817266901264,1,"Very Low",NA,NA,NA,0.958436690661561,1,"<10% Decline",0.967176996921868,1,"<10% Decline"
"OCC-SAI-009",145.743427,15.09785,0.435267782546661,1,"Very Low",0.435267782546661,1,"Very Low",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIS_OCC_005",-173.87918,26.03741,0.403438486066164,4,"Very Low",0.805446486331503,2,"Low",0.500888007971417,2,"Very Low",NA,NA,NA,NA,NA,NA
